id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,81,2019-03-29,"art pop, pop",0.701,0.425,0.562,135.128,-10.965,194088,7,1
46lvmzK8wxAy66tjzXXSh0,Tal Vez,Paulo Londra,60,2019-04-03,"argentine hip hop, trap argentino, trap latino, urbano latino",0.849,0.655,0.76,161.966,-2.899,264483,8,1
1c0hsvHLELX6y8qymnpLKL,Soltera (Remix),Lunay,66,2019-05-10,"reggaeton, reggaeton flow, trap latino, urbano latino",0.795,0.783,0.799,92.01,-4.271,266087,5,1
2huX4MIVEWQtzCpu6B05SV,No Te Preocupes por Mi,Leiva,0,2018-12-14,"cantautor, latin arena pop, spanish indie pop, spanish pop, spanish rock",0.313,0.608,0.341,151.872,-5.746,228326,7,1
1mlGScrDQqHqmhdIqE8MmA,Besos En Guerra,Morat,76,2018-10-25,"colombian pop, latin viral pop",0.691,0.973,0.783,143.961,-3.586,231533,2,1
04u9U3bDD9dVZFDDI8v0ME,Paraíso,Dvicio,51,2014-09-08,"latin arena pop, latin pop, spanish pop",0.643,0.891,0.933,87.989,-3.343,180653,10,1
5ZCamgcqvkckdf2FdfYuth,La Llamada,Leiva,50,2017-09-27,"cantautor, latin arena pop, spanish indie pop, spanish pop, spanish rock",0.623,0.488,0.169,114.019,-8.246,240205,2,1
4szQkW1CDHqbRZGltXJdd3,Soldi,Mahmood,59,2019-02-22,"italian adult pop, italian pop",0.729,0.589,0.349,95.065,-9.871,195133,3,0
42VgiRyg0YjtRVLiPFNxPJ,Zapatillas,El Canto Del Loco,62,2005,"latin arena pop, spanish pop, spanish pop rock",0.428,0.956,0.686,198.076,-2.382,172640,8,0
2Z5wXgysowvzl0nKGNGU0t,Out of My League,Fitz and The Tantrums,73,2013-05-07,"la indie, modern alternative rock, modern rock, pop rock, pov: indie",0.545,0.968,0.527,169.965,-3.553,209386,9,0
1tDUwlIyFFcmfMypYoQ4Ns,Ellos,Ceky Viciny,0,2019-03-11,"dembow, rap dominicano",0.754,0.939,0.853,122.006,-1.953,175082,5,0
63c2jMnVyf8dtnbaQK910d,Serpiente Veneno (feat. Ele A El Dominio),Kidd Keo,58,2019-04-26,"drill espanol, trap latino, trap triste, urbano espanol, urbano latino",0.918,0.527,0.553,99.973,-6.733,268437,1,1
