id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode
34xTFwjPQ1dC6uJmleno7x,Godspeed,Frank Ocean,78,2016-08-20,"lgbtq+ hip hop, neo soul",0.399,0.0969,0.0758,109.54,-12.578,177922,6,1
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,73,2020-12-25,"pop, r&b, rap",0.436,0.655,0.412,121.002,-8.37,279204,1,0
2UJsKjM595pEyWUcd8JEIR,"Fight For You - From the Original Motion Picture ""Judas and the Black Messiah""",H.E.R.,43,2021-02-04,"r&b, rap",0.695,0.689,0.392,95.013,-8.176,270710,2,1
0KS2h61pHQ4WmOwruD7uxD,Damage,H.E.R.,55,2020-10-21,"r&b, rap",0.646,0.696,0.18,81.336,-6.505,223415,1,1
2I88NEWpKrAPZuapXNV5G6,Belong to You (feat. 6LACK),Sabrina Claudio,55,2017-10-05,"alternative r&b, r&b",0.605,0.553,0.62,152.076,-10.845,185617,10,0
2UWnZrXLXIyfMgNvJr2KUa,By Any Means,Jorja Smith,50,2020-07-30,"r&b, uk contemporary r&b",0.75,0.418,0.442,104.981,-10.412,225631,11,1
3Ey11v2aiX14s4wBaYbhlp,Don't Waste My Time (feat. Ella Mai),USHER,53,2019-12-13,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",0.701,0.778,0.609,99.956,-5.076,199720,2,1
38bzNP9KHaTeaG4EwdOLf9,Mistake,Jaz Karis,0,2021-01-29,"alternative r&b, uk contemporary r&b",0.545,0.327,0.38,94.272,-9.826,186693,6,0
3f50PY0yOtMHo9BgCX9WRJ,I Wish I Missed My Ex,Mahalia,52,2019-09-06,"alternative r&b, indie anthem-folk, uk contemporary r&b",0.669,0.669,0.546,95.023,-4.185,203067,0,1
60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,81,2019-11-07,"dance pop, pop",0.749,0.463,0.189,90.035,-8.433,226987,11,1
7Bar1kLTmsRmH6FCKKMEyU,Hit Different,SZA,66,2020-09-04,"pop, r&b, rap",0.679,0.516,0.716,120.074,-6.371,202008,0,0
0uDdI4fAXCuNhQbmxENdsO,Can I,Kehlani,63,2020-05-08,"pop, r&b, rap",0.574,0.791,0.612,119.537,-3.752,167810,1,1
0iDuW211AjTsYDPsLxyqX4,F.U.C.K.,Victoria Monét,53,2021-02-01,"alternative r&b, r&b",0.761,0.397,0.464,127.971,-9.48,205374,8,0
3MEruRteiUZXkStfTlZqRn,Back to the Streets (feat. Jhené Aiko),Saweetie,54,2020-10-23,"cali rap, trap queen",0.865,0.792,0.562,101.985,-4.207,189496,4,1
3f3cliOygeuUpGRwdohy12,Comfortable,H.E.R.,60,2020-02-05,"r&b, rap",0.429,0.4,0.357,72.487,-11.679,255066,5,0
5kAm2Y5ygQtsVfE5dQQfGy,Touch Me (feat. Kehlani) - Remix,Victoria Monét,49,2020-10-08,"alternative r&b, r&b",0.42,0.578,0.528,136.642,-8.87,187951,8,0
6qBFSepqLCuh5tehehc1bd,Like I Want You,Giveon,73,2020-03-27,r&b,0.678,0.355,0.438,119.772,-7.757,260776,10,0
