id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode,genre_list,user,rating
4gT3mNJA8lnlkYFqGZ8IA2,Small Worlds,Mac Miller,73,2018-08-03,"{16: 'hip hop', 61: 'pittsburgh rap', 3: 'rap'}",0.516,0.546,0.515,78.267,-9.105,271733,5,1,"['hip hop', 'pittsburgh rap', 'rap']",1,2.1
3YUMWmx8EJq0DurfuIwoGh,my future,Billie Eilish,68,2021-07-30,"{62: 'art pop', 9: 'pop'}",0.456,0.285,0.0809,104.89,-10.755,210005,8,1,"['art pop', 'pop']",1,3.5
4h5x3XHLVYFJaItKuO2rhy,Ghost in the Machine (feat. Phoebe Bridgers),SZA,70,2022-12-09,"{9: 'pop', 2: 'r&b', 3: 'rap'}",0.624,0.433,0.589,124.979,-9.572,218587,6,1,"['pop', 'r&b', 'rap']",1,4.3
76FZM38RC8XaAjJ77CVTNe,Into You,Ariana Grande,77,2016-04-01,{9: 'pop'},0.623,0.734,0.37,107.853,-5.948,244453,9,1,['pop'],1,3.7
31mzt4ZV8C0f52pIz1NSwd,Shut up My Moms Calling (Sped up),Hotel Ugly,77,2022-09-14,{171: 'modern indie pop'},0.653,0.474,0.361,85.024,-10.899,135529,5,0,['modern indie pop'],1,3.2
5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,84,2020-03-20,"{27: 'canadian contemporary r&b', 121: 'canadian pop', 9: 'pop'}",0.679,0.825,0.644,118.049,-5.487,215627,0,1,"['canadian contemporary r&b', 'canadian pop', 'pop']",1,2.4
4EDijkJdHBZZ0GwJ12iTAj,Stargirl Interlude,The Weeknd,72,2016-11-25,"{27: 'canadian contemporary r&b', 121: 'canadian pop', 9: 'pop'}",0.638,0.474,0.441,179.771,-12.7,111640,5,0,"['canadian contemporary r&b', 'canadian pop', 'pop']",1,2.9
0VO8gYVDSwM1Qdd2GsMoYK,Moth To A Flame (with The Weeknd),Swedish House Mafia,78,2022-04-15,"{40: 'edm', 43: 'pop dance', 371: 'progressive electro house'}",0.553,0.659,0.105,120.146,-7.295,234000,8,1,"['edm', 'pop dance', 'progressive electro house']",1,4.0
2QUlMbvD9bL8wHqfsoqoet,Stop The World I Wanna Get Off With You,Arctic Monkeys,67,2013-09-02,"{355: 'garage rock', 129: 'modern rock', 66: 'permanent wave', 74: 'rock', 362: 'sheffield indie'}",0.661,0.73,0.53,95.027,-6.779,191040,6,0,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",1,3.5
0xtIp0lgccN85GfGOekS5L,Yes I'm Changing,Tame Impala,66,2015-07-17,"{363: 'australian psych', 129: 'modern rock', 364: 'neo-psychedelic', 74: 'rock'}",0.373,0.609,0.354,179.955,-7.0,270680,0,1,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",1,4.3
2Z5wXgysowvzl0nKGNGU0t,Out of My League,Fitz and The Tantrums,72,2013-05-07,"{165: 'la indie', 369: 'modern alternative rock', 129: 'modern rock', 132: 'pop rock', 21: 'pov: indie'}",0.545,0.968,0.527,169.965,-3.553,209386,9,0,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'pov: indie']",1,3.0
4osgfFTICMkcGbbigdsa53,Novacane,Frank Ocean,80,2011-01-01,"{0: 'lgbtq+ hip hop', 1: 'neo soul'}",0.762,0.508,0.37,93.51,-9.112,302347,3,1,"['lgbtq+ hip hop', 'neo soul']",1,3.9
0dFdGPVLs3k0z9ezYWZzUa,Intimidated (feat. H.E.R.),KAYTRANADA,68,2021-11-19,"{4: 'alternative r&b', 97: 'escape room', 285: 'indie soul', 0: 'lgbtq+ hip hop'}",0.738,0.75,0.342,112.009,-3.654,207840,11,0,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",1,4.9
4JGKZS7h4Qa16gOU3oNETV,Dreams,The Cranberries,78,1993-03-01,"{125: 'irish rock', 132: 'pop rock', 74: 'rock'}",0.551,0.645,0.508,128.665,-13.093,271560,4,1,"['irish rock', 'pop rock', 'rock']",1,4.7
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,88,2012-12-07,"{8: 'dance pop', 9: 'pop'}",0.726,0.698,0.867,143.994,-4.165,233478,5,1,"['dance pop', 'pop']",1,3.6
5Y6nVaayzitvsD5F7nr3DV,West Coast,Lana Del Rey,81,2014-01-01,"{62: 'art pop', 9: 'pop'}",0.527,0.591,0.461,123.167,-7.664,256760,6,0,"['art pop', 'pop']",1,2.5
5TxRUOsGeWeRl3xOML59Ai,ARE WE STILL FRIENDS?,"Tyler, The Creator",80,2019-05-17,"{16: 'hip hop', 3: 'rap'}",0.216,0.497,0.313,187.308,-8.025,265480,10,1,"['hip hop', 'rap']",1,4.0
5nkUIVKqOqdpB6ApKgEMkv,Stay Ready (What A Life),Jhené Aiko,74,2013-01-01,{2: 'r&b'},0.347,0.493,0.308,82.887,-11.548,382760,8,0,['r&b'],1,2.5
6rSUrh8ErKSKfbH0t0IzCM,Moment,Victoria Monét,58,2020-08-07,"{4: 'alternative r&b', 2: 'r&b'}",0.571,0.431,0.361,130.111,-8.889,179413,1,1,"['alternative r&b', 'r&b']",1,3.5
6n3HGiq4v35D6eFOSwqYuo,Teenage Fever,Drake,77,2017-03-18,"{155: 'canadian hip hop', 121: 'canadian pop', 16: 'hip hop', 49: 'pop rap', 3: 'rap'}",0.766,0.283,0.144,97.04,-10.33,219692,8,0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",1,2.3
59qk9FIM1W1IB03cGEOO2v,Continúa,Cupido,33,2019-02-14,{104: 'urbano espanol'},0.66,0.839,0.455,80.997,-7.005,224357,4,0,['urbano espanol'],1,4.0
1B0BQaSRHxhI0AUlItY3LK,MALAMENTE - Cap.1: Augurio,ROSALÍA,63,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.893,0.482,0.53,97.975,-4.779,150027,0,0,"['pop', 'r&b en espanol']",1,3.3
6HpgdL4zUpuyXCzvAhgR5a,QUE NO SALGA LA LUNA - Cap.2: Boda,ROSALÍA,51,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.625,0.655,0.485,121.075,-5.992,269539,9,0,"['pop', 'r&b en espanol']",1,3.0
5r8mGKhCDIVWb3AG4hm0l0,PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,59,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.647,0.676,0.41,164.51,-6.025,193767,8,1,"['pop', 'r&b en espanol']",1,4.7
0CaiddWO1F3v4nTQGgfk9A,DE AQUÍ NO SALES - Cap.4: Disputa,ROSALÍA,47,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.802,0.448,0.218,124.891,-8.213,144541,11,0,"['pop', 'r&b en espanol']",1,3.9
5meAAp6VRNKT4cR3CvKkfU,RENIEGO - Cap.5: Lamento,ROSALÍA,44,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.246,0.21,0.307,124.37,-7.343,208197,10,0,"['pop', 'r&b en espanol']",1,2.0
1Yaw3jxKlBUXkfIo2FHG2M,PRESO - Cap.6: Clausura,ROSALÍA,43,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.559,0.291,0.359,76.543,-18.795,40690,6,1,"['pop', 'r&b en espanol']",1,4.7
2Sfl7odHUmG7qc8SbqUyzE,DI MI NOMBRE - Cap.8: Éxtasis,ROSALÍA,58,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.794,0.534,0.547,91.871,-6.47,162377,8,0,"['pop', 'r&b en espanol']",1,4.3
0r6AxesiTSiCyJIIOpVYrv,NANA - Cap.9: Concepción,ROSALÍA,44,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.345,0.0718,0.103,115.119,-10.683,197207,2,0,"['pop', 'r&b en espanol']",1,3.5
5IIXMynH8cxC8is6MaqdF7,MALDICIÓN - Cap.10: Cordura,ROSALÍA,45,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.439,0.31,0.372,103.993,-8.118,175254,8,1,"['pop', 'r&b en espanol']",1,4.7
0RhO0RV0YKyF05kZ4uQOHW,A NINGÚN HOMBRE - Cap.11: Poder,ROSALÍA,52,2018-11-02,"{9: 'pop', 162: 'r&b en espanol'}",0.555,0.149,0.408,107.785,-6.599,94224,0,1,"['pop', 'r&b en espanol']",1,2.1
2FYGZDfsAnNsrm1gVbyKnG,SAOKO,ROSALÍA,62,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.827,0.768,0.734,99.988,-5.702,137533,0,1,"['pop', 'r&b en espanol']",1,3.4
70AYiGbc4mWZGEqiipBBDb,CANDY,ROSALÍA,59,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.638,0.49,0.403,179.905,-5.726,193480,4,0,"['pop', 'r&b en espanol']",1,3.6
6Y46tOTRhkBamosyuWa6YX,LA FAMA,ROSALÍA,71,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.766,0.295,0.805,136.016,-7.893,188107,0,0,"['pop', 'r&b en espanol']",1,4.1
5tmrMIajDQRBcJQPaoAGdk,BULERÍAS,ROSALÍA,49,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.774,0.458,0.757,127.33,-6.301,155880,0,1,"['pop', 'r&b en espanol']",1,5.0
6hH6QJ9ZAO0Z6m7PfvLoXW,CHICKEN TERIYAKI,ROSALÍA,56,2022-03-18,"{9: 'pop', 162: 'r&b en espanol'}",0.788,0.4,0.558,97.936,-6.454,122227,2,1,"['pop', 'r&b en espanol']",1,4.8
